Crop,Variety,State,Duration in days
Sesame,Rajasthan Till 351 (RT 351),"['Rajasthan', ' Uttar Pradesh', ' Maharashtra', ' Gujarat', ' Karnataka', ' Himachal Pradesh', ' Punjab', ' Haryana', ' Jammu And Kashmir']",134
Bengal Gram,Ujjawal (IPCK2004-29),"['Madhya Pradesh', ' Rajasthan', ' Chhattisgarh', ' Maharashtra', ' Gujarat', ' Uttar Pradesh']",107
Bengal Gram,PKV KABULI-4,"['Maharashtra', ' Madhya Pradesh']",110
Bengal Gram,MNK-1,"['Karnataka', ' Andhra Pradesh', ' Orissa', ' Tamil Nadu']",110
Lentil,Pant Lentil-8(Pant L-063),"['Punjab', ' Haryana', ' Uttarakhand', ' Uttar Pradesh', ' Delhi', ' Rajasthan']",135
Lentil,Pant Lentil-7(Pant L-024),"['Punjab', ' Haryana', ' Uttar Pradesh']",147
Fieldpea,Aman (IPF 5-19),"['Punjab', ' Haryana', ' Uttarakhand', ' Uttar Pradesh', ' Delhi', ' Rajasthan']",137
Fieldpea,GOMATI (TRCP-8),"['Uttarakhand', ' Jammu And Kashmir', ' Arunachal Pradesh', ' Assam', ' Manipur', ' Meghalaya', ' Mizoram', ' Nagaland', ' Sikkim', ' Tripura']",140
Fieldpea,Dantiwada Fieldpea 1 (SKNP 04-09),"['Uttar Pradesh', ' Bihar', ' Jharkhand', ' West Bengal']",139
French Bean,Gujarat Rajmash-1 (DPR 88-1-2),"['Gujarat', ' Rajasthan', ' Maharashtra', ' Madhya Pradesh']",108
Mungbean,PKV AKM-4 (AKM-9904),"['Karnataka', ' Tamil Nadu', ' Orissa']",134
Urdbean,Mash 479 (KUG 479),"['Punjab', ' Haryana', '  Uttar Pradesh', ' Uttarakhand']",134
Urdbean,Mash 391 (LU 391),"['Karnataka', ' Andhra Pradesh', ' Orissa', ' Tamil Nadu']",134
Cluster Bean,HG 884,"['Uttar Pradesh', ' Madhya Pradesh', ' Haryana', ' Gujarat', ' Rajasthan']",110
Cluster Bean,HG 2-20,"['Uttar Pradesh', ' Haryana', ' Gujarat', ' Rajasthan']",100
Horse Gram,CRIDALATHA (CRHG-4),"['Andhra Pradesh', ' Karnataka', ' Kerala', ' Tamil Nadu', ' Telangana']",110
Sugarcane,Karan 6 (Co 0239),"['Punjab', ' Haryana', ' Rajasthan', ' Uttarakhand', ' Uttar Pradesh']",360
Sugarcane,Karan 5 (Co 0124),"['Punjab', ' Haryana', ' Rajasthan', ' Uttarakhand', ' Uttar Pradesh']",360
Sugarcane,Co-0218,"['Tamil Nadu', ' Karnataka', ' Maharashtra', ' Kerala', ' Andhra Pradesh']",360
Napier Bajra Hybrid,Phule Jaywant (RBN-13),"['Madhya Pradesh', ' Maharashtra', ' Gujarat', ' Uttar Pradesh', ' Andhra Pradesh', ' Tamil Nadu', ' Karnataka', ' Kerala']",134
Oat,Narendra Jayee -1 (NDO - 1),"['Punjab', ' Haryana', ' Uttar Pradesh', ' Rajasthan', ' Madhya Pradesh', ' Maharashtra', ' Gujarat', ' Karnataka', ' Andhra Pradesh']",120
Oat,OS 346,"['Madhya Pradesh', ' Gujarat', ' Maharashtra']",90
Oat,JO 03-91 (SC),"['Madhya Pradesh', ' Chhattisgarh', ' Uttar Pradesh', ' Maharashtra', ' Gujarat']",105
Tall Fescue Grass,EC 178182,"['Himachal Pradesh', ' Uttarakhand', ' Jammu And Kashmir']",134
Cowpea (Fodder),UPC 628,"['Uttarakhand', ' Himachal Pradesh', ' Jammu And Kashmir', ' Punjab', ' Haryana', ' Rajasthan', ' Uttar Pradesh', ' Madhya Pradesh', ' Chhattisgarh', ' Bihar', ' Jharkhand', ' West Bengal', ' Orissa', ' Assam', ' Gujarat', ' Maharashtra']",147
Jute,SUDHANGSU (JBO-1),"['West Bengal', ' Assam', ' Bihar', ' Orissa']",134
Jute,ARPITA (JBC-5),"['West Bengal', ' Assam']",134
Mesta,SNEHA (JRM-3),"['Andhra Pradesh', ' West Bengal', ' Bihar', ' Orissa', ' Maharashtra']",134
Mesta,SHRESTHA (JRM-5),"['Andhra Pradesh', ' Orissa', ' Assam', ' Maharashtra', ' Bihar', ' West Bengal']",134
Cotton,CNH012,"['Gujarat', ' Maharashtra', ' Madhya Pradesh']",165
Cotton,CICR-3 (CISA 614),"['Punjab', ' Haryana', ' Uttar Pradesh']",150
Cotton,VBCH 2231,"['Maharashtra', ' Gujarat', ' Madhya Pradesh', ' Orissa']",157
Cotton,FDK 124,"['Punjab', ' Haryana', ' Rajasthan']",158
