Crop,Variety,Season/ duration in days,Recommended Zone
Fieldpea,Dantiwada Fieldpea 1 (SKNP 04-09),139,"Uttar Pradesh, Bihar, Jharkhand, West Bengal"
French Bean,Gujarat Rajmash-1 (DPR 88-1-2),108,"Gujarat, Rajasthan, Maharashtra, Madhya Pradesh"
Mungbean,PKV AKM-4 (AKM-9904),134,"Karnataka, Tamil Nadu, Orissa"
Urdbean,Mash 479 (KUG 479),134,"Punjab, Haryana,  Uttar Pradesh, Uttarakhand"
Urdbean,Mash 391 (LU 391),134,"Karnataka, Andhra Pradesh, Orissa, Tamil Nadu"
Cluster Bean,HG 884,110,"Uttar Pradesh, Madhya Pradesh, Haryana, Gujarat, Rajasthan"
Cluster Bean,HG 2-20,100,"Uttar Pradesh, Haryana, Gujarat, Rajasthan"
Horse Gram,CRIDALATHA (CRHG-4),110,"Andhra Pradesh, Karnataka, Kerala, Tamil Nadu, Telangana"
Sugarcane,Karan 6 (Co 0239),360,"Punjab, Haryana, Rajasthan, Uttarakhand, Uttar Pradesh"
Sugarcane,Karan 5 (Co 0124),360,"Punjab, Haryana, Rajasthan, Uttarakhand, Uttar Pradesh"
Sugarcane,Co-0218,360,"Tamil Nadu, Karnataka, Maharashtra, Kerala, Andhra Pradesh"
Napier Bajra Hybrid,Phule Jaywant (RBN-13),134,"Madhya Pradesh, Maharashtra, Gujarat, Uttar Pradesh, Andhra Pradesh, Tamil Nadu, Karnataka, Kerala"
Oat,Narendra Jayee -1 (NDO - 1),120,"Punjab, Haryana, Uttar Pradesh, Rajasthan, Madhya Pradesh, Maharashtra, Gujarat, Karnataka, Andhra Pradesh"
Oat,OS 346,90,"Madhya Pradesh, Gujarat, Maharashtra"
Oat,JO 03-91 (SC),105,"Madhya Pradesh, Chhattisgarh, Uttar Pradesh, Maharashtra, Gujarat"
Tall Fescue Grass,EC 178182,134,"Himachal Pradesh, Uttarakhand, Jammu And Kashmir"
Cowpea (Fodder),UPC 628,147,"Uttarakhand, Himachal Pradesh, Jammu And Kashmir, Punjab, Haryana, Rajasthan, Uttar Pradesh, Madhya Pradesh, Chhattisgarh, Bihar, Jharkhand, West Bengal, Orissa, Assam, Gujarat, Maharashtra"
Jute,SUDHANGSU (JBO-1),134,"West Bengal, Assam, Bihar, Orissa"
Jute,ARPITA (JBC-5),134,"West Bengal, Assam"
Mesta,SNEHA (JRM-3),134,"Andhra Pradesh, West Bengal, Bihar, Orissa, Maharashtra"
Mesta,SHRESTHA (JRM-5),134,"Andhra Pradesh, Orissa, Assam, Maharashtra, Bihar, West Bengal"
Cotton,CNH012,165,"Gujarat, Maharashtra, Madhya Pradesh"
Cotton,CICR-3 (CISA 614),150,"Punjab, Haryana, Uttar Pradesh"
Cotton,VBCH 2231,157,"Maharashtra, Gujarat, Madhya Pradesh, Orissa"
Cotton,FDK 124,158,"Punjab, Haryana, Rajasthan"
